title,speakers,description,link,video,thumbnail
What’s new with Contextual Sensing,Rinku Sreedhar,"<p>This session includes 3 topics a) Future strategy for Contextual Sensing APIs and plan for Lumia Sensorcore API, b) Introduce 3 new Motion Sensing UWP APIs c) Sensing Remotely when sensors are not on the device where you have your application running.</p><p>&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6ddb8e3bb4f54fb9a1d0a5e600fda43c"" />",https://s.ch9.ms/Events/Build/2016/P516,What’s_new_with_Contextual_Sensing.mp4,http://video.ch9.ms/ch9/dc46/a507a07e-8575-4cba-9838-571aca48dc46/P516_220.jpg
ASP.NET 1.0 Core: Advanced TagHelpers,Taylor Mullen,"In this code-focused session, N. Taylor Mullen digs into the advanced aspects of tag helpers, explaining how you can accomplish more difficult tasks. Along the way, he builds a great tag helper that enables RequireJS like functionality entirely on the server with minimal configuration. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e9bed4a7d94849e7beeaa5da00c46f9e"" />",https://s.ch9.ms/Events/Build/2016/P410,ASP.NET_1.0_Core_Advanced_TagHelpers.mp4,http://video.ch9.ms/ch9/6df9/03ca0ed7-4772-4475-8b36-c5add99b6df9/P410ASPnetCore10AdvancedTagHelpersv3_220.jpg
Building Big Data Applications using Spark and Hadoop,Maxim Lukiyanov,"In this session, learn how to leverage Spark to build intelligence into your applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d989de235f2243519266a5e200dcb81f"" />",https://s.ch9.ms/Events/Build/2016/P420,Building_Big_Data_Applications_using_Spark_and_Hadoop.mp4,https://sec.ch9.ms/sessions/build/2016/P420.jpg
Service Fabric Deploying and Managing Applications with Service Fabric,Chacko Daniel,"<p>Service Fabric deploys and manages distributed applications built as microservices. This session we will show you how to create Service Fabric clusters and walk through an ARM template. We will and then deploy, monitor, troubleshoot, and the upgrade applications with no downtime and show you how it is super easy to manage these microservice based applications.</p><p>&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:77d916cf8a824f0ca7c0a5e2013ba2e2"" />",https://s.ch9.ms/Events/Build/2016/P431,Service_Fabric_Deploying_and_Managing_Applications_with_Service_Fabric.mp4,http://video.ch9.ms/ch9/3c59/d564d758-4c9d-489a-8cda-a624f3703c59/P431_220.jpg
Azure IoT: Today and Tomorrow,"Cameron Skinner, Seth Juarez, Sam George","<p>Azure IoT: Today and Tomorrow</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:55a876d55f4045e89213a5db0029a1c9"" />",https://s.ch9.ms/Events/Build/2016/CIOT,Azure_IoT_Today_and_Tomorrow.mp4,http://video.ch9.ms/ch9/c0c1/fe7a553e-94a5-4e8d-84e6-7c416e6fc0c1/C9LIVE032AzureIoT_220.jpg
The Future of XAML,"Ryan Demopoulos, Unni Ravindranathan, Seth Juarez, James Clarke","<p>The Future of XAML</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:da0b27cee06240fba27da5db01067cf4"" />",https://s.ch9.ms/Events/Build/2016/The-Future-of-XAML,The_Future_of_XAML.mp4,http://video.ch9.ms/ch9/5a42/67a9bbad-b1c2-49f9-a301-2af14c8f5a42/Day3FutureofXAML_220.jpg
Cloud Server Tools,"Scott Hunter, Scott Klein","<p>Ying, Yang and a Bang</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:52b11a83177a4a12bb90a5db0105afa2"" />",https://s.ch9.ms/Events/Build/2016/Ying-Yang-and-a-Bang,Cloud_Server_Tools.mp4,http://video.ch9.ms/ch9/366e/8dfb11ef-cf86-445e-b42f-875f271f366e/C9LIVE037CloudServerTools_220.jpg
"Jeffrey Snover on Azure Stack, Powershell, and Nano Server","Jeffrey Snover, Seth Juarez","<p>Jeffrey Snover on Azure Stack, Powershell, and Nano Server</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d94e4d465587434ba5b3a5db0028a7e1"" />",https://s.ch9.ms/Events/Build/2016/CJS1,"Jeffrey_Snover_on_Azure_Stack,_Powershell,_and_Nano_Server.mp4",http://video.ch9.ms/ch9/25a8/3b46d6d0-af55-4969-b205-446a49e425a8/C9LIVE031JeffreySnover_220.jpg
Azure AD,Vittorio Bertocci,"<p>Azure AD</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3e572b90c2034c0cae13a5db0009f2b2"" />",https://s.ch9.ms/Events/Build/2016/Azure-AD,Azure_AD.mp4,http://video.ch9.ms/ch9/c838/bcb2f1ce-72bb-4dbb-ab66-77d56568c838/C9LIVE028AzureAD_220.jpg
Python and node.js on Visual Studio,"Seth Juarez, Steve Dower, Sara Itani","<p>Python and node.js on Visual Studio</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:57765cd0bc6a439db54ba5db0008e422"" />",https://s.ch9.ms/Events/Build/2016/Python-and-nodejs-on-Visual-Studio,Python_and_node.js_on_Visual_Studio.mp4,http://video.ch9.ms/ch9/7427/6d68b806-383c-4ceb-8ff8-d62e8f3c7427/C9LIVE027PythonandNodejsOnVisualStudio_220.jpg
